125

11 7
3 25 24
26 19 -5
9 17 -9
14 45 21
18 13 -16
12 14 -28
16 9 -23
37 15 -19
28 40 -13
27 7 -23
29 16 20
32 44 -28
37 3 20

73 52
39 30 -24
26 65 14
8 11 22
47 62 -14
34 40 -16
47 3 27
52 48 21
55 19 -6
16 6 -10
9 42 -22
71 17 13
26 45 -20
34 60 -12
16 8 -19
53 68 31
60 20 27
70 60 -27
15 6 31
40 13 8
55 66 23
60 16 6
40 3 -3
22 21 15
27 9 -12
43 24 10
43 42 -5
3 68 15
65 58 28
21 52 -25
42 62 -18
1 64 21
54 28 13
46 8 18
40 0 -26
44 43 -8
51 20 -16
49 72 -4
29 18 -8
42 30 24
14 7 18
41 44 -27
53 65 -13
49 8 -19
15 27 9
20 64 -30
6 49 18
20 49 9
40 18 23
18 65 -25
25 71 24
4 1 3
15 3 26

52 139
43 33 -10
22 1 9
36 17 2
47 35 17
48 23 5
6 40 -10
14 11 15
42 40 5
35 9 0
49 34 9
15 9 11
8 39 -18
39 33 -10
44 46 24
27 6 22
31 17 -5
35 42 -15
42 8 -25
31 6 -23
40 39 27
30 3 25
37 22 22
32 13 -1
19 11 17
27 2 14
30 17 -32
42 9 24
28 6 -3
14 6 -9
17 28 9
9 50 3
9 28 -1
46 36 21
26 24 -7
21 44 5
30 49 -17
22 21 -16
17 16 -30
13 26 15
43 22 -31
2 37 8
37 28 -18
3 34 -18
34 10 3
47 32 16
22 13 6
38 35 22
51 5 4
48 29 3
49 33 -26
1 28 24
43 21 -17
20 40 -21
35 7 12
45 41 -8
30 11 6
11 40 7
40 3 27
34 2 7
22 2 9
1 42 12
9 12 31
42 6 -3
49 28 -32
51 44 8
6 3 -18
0 6 28
34 18 29
25 7 -17
26 2 2
23 16 -11
17 21 -24
40 44 -32
2 47 -19
5 30 5
26 39 -29
6 51 -19
23 8 2
7 47 17
5 0 -19
33 46 28
5 12 -26
26 15 -18
10 25 -32
17 11 -22
29 17 24
8 45 28
14 29 -32
48 31 30
13 38 -31
48 40 -13
12 6 -28
7 29 23
27 36 21
1 12 0
40 15 2
8 12 27
38 4 -19
15 27 -28
1 8 -21
32 7 -31
10 33 0
42 26 26
22 50 22
18 7 2
38 2 3
43 42 11
23 47 20
13 49 -8
42 13 -1
21 5 -14
41 46 2
44 33 -14
8 43 3
30 37 -7
21 8 20
8 34 -14
33 26 19
13 31 -17
41 30 -31
48 34 23
11 32 -9
9 17 -28
0 30 23
18 36 7
19 27 10
18 8 23
13 35 26
17 22 -19
34 39 -21
5 36 -21
7 21 -6
13 18 23
12 48 -2
42 27 20
1 35 15
0 47 8
51 35 14
29 32 27

35 138
13 14 11
18 5 25
28 16 -16
23 14 0
31 11 5
14 6 -28
3 0 13
15 13 21
8 5 20
4 3 7
27 9 -8
12 15 -21
18 20 -19
25 32 -2
31 3 -30
15 1 -30
24 3 -20
8 20 27
25 8 -4
2 6 -12
19 6 9
12 29 -11
16 8 -6
19 31 25
3 8 21
27 23 -6
15 29 21
23 30 -2
13 19 11
21 25 -23
21 2 8
14 5 -2
3 29 4
29 30 20
5 10 -25
1 30 12
12 4 26
32 0 23
5 23 3
6 8 13
17 0 21
7 34 6
11 28 20
16 3 -14
16 26 20
13 0 -5
1 20 9
18 17 16
26 5 18
23 7 -28
18 11 -5
16 34 -28
7 3 26
0 6 27
4 10 31
10 6 24
22 34 25
15 30 -8
8 6 1
29 32 6
3 2 -30
34 27 -6
20 14 -28
0 31 17
4 34 -26
30 19 20
17 4 -19
11 23 21
18 27 6
5 29 19
3 18 -18
19 7 -2
15 27 6
33 10 9
12 22 0
18 3 -27
3 16 14
15 21 12
1 31 12
22 33 19
26 14 -5
7 1 24
2 31 -4
23 20 22
25 13 7
31 6 -25
15 11 -21
3 34 14
9 23 22
32 8 19
18 10 16
34 31 -30
25 26 -25
27 20 21
5 3 -23
17 32 -20
11 21 -22
16 12 18
7 20 -26
19 27 -23
29 12 2
16 7 -9
31 20 28
5 32 -30
29 33 -27
5 14 27
8 13 -11
22 19 3
8 15 31
4 23 15
16 25 2
27 24 3
16 33 23
10 2 -20
22 18 -21
19 5 31
10 33 -17
17 6 -29
8 22 2
0 24 -29
8 0 30
22 13 -19
30 17 -18
11 4 31
23 10 -12
1 17 11
28 9 6
23 28 -4
8 31 15
24 15 -25
34 11 -9
27 12 -29
13 7 -26
23 18 2
23 22 -21
11 12 -20
25 22 -2
4 18 6

82 160
78 25 -8
44 40 -27
77 25 2
3 11 -18
12 56 -6
73 79 8
17 31 -5
20 57 13
7 16 -26
57 54 18
52 53 5
1 56 -31
64 16 4
26 55 11
58 45 17
4 78 19
31 11 10
58 6 -24
49 29 -16
19 51 21
54 1 26
30 0 18
43 8 -28
11 47 -8
16 42 28
33 76 12
78 2 -30
68 18 -30
39 42 30
60 71 -14
77 24 -4
28 6 26
19 46 20
50 54 4
17 49 -30
70 3 6
2 29 9
16 65 20
22 13 30
17 72 16
46 58 21
28 22 -4
67 13 1
72 32 -24
9 11 -15
70 18 -21
22 10 29
63 42 27
72 29 -15
47 18 -16
69 32 2
80 62 10
81 7 -10
73 70 -14
35 16 -20
13 17 -6
64 3 -22
47 29 24
31 36 -10
39 9 28
28 23 -30
66 64 3
17 80 -17
72 81 -25
5 39 -27
61 36 2
25 54 13
9 57 20
14 40 -25
62 80 9
78 79 8
33 68 -12
43 38 -23
39 22 9
8 64 8
74 19 -7
4 6 -31
30 66 17
9 27 -29
11 42 29
68 54 -32
61 25 21
37 69 17
14 30 14
73 19 3
51 22 7
52 62 18
29 65 14
20 15 -10
29 1 0
25 68 18
68 39 15
20 62 28
51 71 7
39 24 -19
21 69 -31
1 43 5
19 32 -10
32 46 13
12 21 24
46 32 3
58 15 12
75 17 21
57 9 -19
47 19 -11
43 67 27
26 48 -30
71 29 -24
12 15 -22
30 53 12
20 36 16
51 77 -11
20 18 -19
78 65 -20
69 25 -26
59 60 -21
19 71 26
10 49 15
21 30 3
77 73 -3
32 15 15
50 30 11
13 39 10
35 72 -14
16 56 4
11 28 12
1 32 27
48 80 -7
58 0 5
50 26 -12
32 65 -6
14 69 17
67 32 -21
19 78 2
43 21 10
13 9 27
54 72 12
46 24 0
8 80 20
25 23 14
18 13 -22
74 37 30
19 36 -24
37 32 23
17 12 -23
49 63 -26
30 57 -14
76 58 10
10 12 30
45 4 4
30 64 10
63 70 -21
4 80 8
1 53 -24
8 31 11
3 4 4
3 15 -31
19 50 -12
70 52 -8
9 53 -10

77 120
27 44 13
74 34 12
13 27 -11
75 9 8
34 12 -30
5 40 -7
60 12 -22
71 13 10
64 22 23
38 61 -21
25 50 -12
44 21 2
0 76 1
4 5 25
27 63 26
72 19 20
23 59 -27
71 60 27
76 17 30
20 42 20
36 18 3
24 36 -1
49 24 9
68 12 16
2 33 20
40 33 -5
44 2 -9
5 9 -4
67 26 23
44 15 7
12 16 -28
54 4 27
1 57 -13
44 39 3
43 10 13
59 48 9
40 48 -14
60 7 2
54 70 -25
28 31 -25
72 27 27
2 38 11
59 43 13
14 40 0
66 54 26
14 47 -5
53 66 23
67 4 11
51 60 -6
44 51 -31
55 26 -18
38 69 -10
70 26 6
34 5 -28
68 8 -21
43 58 -2
57 15 23
51 24 30
34 30 -6
37 70 6
18 28 10
45 50 -4
41 36 28
33 5 26
39 12 -6
41 6 5
39 64 23
29 56 14
42 63 -10
71 24 10
58 10 -26
58 76 -15
38 16 20
64 3 -5
68 24 9
31 19 -1
32 73 20
69 25 16
5 48 28
48 61 -28
70 7 -16
11 55 -7
38 1 -28
0 68 26
58 6 -18
76 14 -6
18 4 5
50 9 -18
18 60 23
71 55 8
25 71 18
39 63 -26
16 2 -12
56 51 -18
20 74 -24
8 68 -8
57 26 9
35 49 11
3 61 0
67 42 5
73 5 16
0 52 29
17 20 12
46 25 6
18 24 -32
23 51 -27
19 24 -5
64 10 -7
38 60 -12
21 37 4
58 38 -10
50 25 -22
9 68 -28
72 30 -28
1 15 -20
73 63 -1
28 33 29
6 50 17
37 64 -19
30 10 12

80 178
22 64 26
41 69 3
2 20 -25
70 43 22
75 29 26
27 23 6
75 33 27
28 45 -18
8 50 -30
70 1 9
0 72 -8
62 70 -4
38 58 18
24 65 -27
64 52 -16
14 12 31
18 54 -10
16 8 12
52 16 -12
48 34 10
60 6 29
2 5 26
10 66 26
74 56 13
3 12 5
17 51 20
56 69 -21
53 24 -28
17 66 -26
0 52 -32
58 10 5
18 52 -32
37 53 -12
73 54 -19
56 1 18
38 61 -24
62 8 6
22 14 -30
71 33 -22
10 41 -26
74 47 8
69 19 16
67 77 31
7 25 26
0 22 -19
48 55 29
55 39 29
19 66 -32
24 46 7
7 13 22
37 74 -28
30 45 5
3 31 23
36 51 -18
59 12 11
27 31 -17
6 3 14
53 46 -6
31 10 -4
2 61 10
18 37 2
16 54 18
62 28 0
64 9 24
54 22 -19
72 59 29
25 23 29
24 27 1
3 74 -24
59 52 19
67 41 27
35 3 31
29 41 -2
27 53 -21
24 5 0
17 48 1
73 53 -5
14 4 9
36 1 0
15 23 -17
29 76 -11
16 9 -3
14 41 -18
47 31 -12
63 73 29
54 77 27
43 42 -29
50 10 -14
55 32 -24
38 24 -25
5 4 -22
78 5 8
69 61 -5
22 76 9
28 65 24
74 79 -13
75 1 -24
63 65 10
53 20 -23
1 3 -25
35 70 11
36 9 25
17 65 -9
42 11 31
55 37 6
32 70 12
69 37 4
59 22 26
56 63 26
27 3 -23
20 43 20
9 65 -31
39 64 7
45 33 2
73 6 1
79 70 5
31 7 30
39 58 20
24 12 -17
16 34 -12
11 7 -17
18 56 14
31 43 14
20 63 6
20 51 1
5 12 3
3 30 21
57 51 -30
34 20 4
18 4 -5
26 50 -32
6 78 -9
8 27 -1
51 14 15
20 54 12
78 29 4
40 64 -2
74 59 -29
35 52 -2
21 42 19
67 62 12
59 38 -24
36 79 -27
10 34 -3
60 50 7
11 6 -22
40 78 -4
31 14 -19
57 18 -24
48 36 -28
42 4 31
29 4 -23
33 9 20
14 76 -23
53 55 3
32 4 -15
41 42 -17
20 41 -14
33 14 -13
29 14 24
44 62 -10
15 59 20
23 20 -9
56 8 -16
79 49 16
66 51 -9
42 52 3
12 71 -22
64 8 31
68 32 -27
44 43 29
77 52 -27
0 31 24
76 18 17
24 63 17
58 30 25
73 29 -31
29 78 -17

77 153
33 52 -7
63 38 -10
61 51 1
46 30 25
43 13 -23
24 74 28
12 52 3
70 72 -19
74 24 20
46 60 -6
24 28 -32
10 68 -31
40 51 22
32 64 10
4 42 5
17 73 0
44 12 -32
25 11 -23
23 47 5
69 33 20
61 30 -10
34 17 -3
59 36 11
21 75 -6
53 65 -8
28 76 20
53 51 -23
45 43 14
61 29 2
64 18 -18
39 45 19
55 60 -27
51 29 7
3 2 4
0 54 -12
66 45 5
27 51 -10
61 12 0
50 24 31
69 26 -22
20 43 4
76 23 -23
2 76 24
34 68 19
75 59 20
76 58 19
69 47 15
62 61 -13
52 6 27
15 51 27
44 15 -8
54 76 10
1 52 -1
22 76 -18
47 12 5
11 30 -10
16 64 -5
9 29 7
27 52 27
18 4 -17
5 20 1
46 25 -14
26 14 -32
53 37 -24
62 67 -15
46 65 24
24 19 -11
74 2 -5
1 14 19
68 38 -5
60 33 22
38 6 17
11 56 21
4 55 -32
57 29 25
23 53 -12
16 24 2
12 7 15
23 73 29
14 61 18
49 25 14
6 54 -11
44 62 -10
73 66 18
12 10 1
18 57 22
56 16 22
12 18 10
31 14 21
11 35 28
44 47 -27
71 56 19
27 12 4
60 42 -13
15 66 11
58 35 -3
28 69 0
38 18 -18
69 30 25
5 44 4
26 72 -14
5 9 9
35 19 -22
32 15 10
29 60 26
65 67 -25
69 57 -2
36 73 -11
18 61 -28
14 24 11
29 50 1
54 61 6
43 4 13
39 31 11
62 29 -15
40 19 24
36 59 -12
62 51 25
63 12 -25
74 38 27
75 38 5
40 37 12
32 25 -14
22 72 27
41 56 -20
24 25 -4
56 8 -8
65 52 30
39 63 -8
4 3 7
17 34 21
37 39 -10
59 76 26
21 5 -12
11 75 -20
63 76 11
66 24 -15
25 49 18
55 75 31
53 36 7
76 74 -12
29 10 -9
25 14 0
67 12 27
31 0 -12
3 71 -15
22 57 -32
6 73 21
30 5 7
25 60 15
8 50 14
15 75 -15
14 46 -27

64 102
40 14 6
49 16 21
23 12 -17
57 32 17
49 14 -2
30 54 5
57 8 12
18 31 3
9 58 28
50 58 -16
31 9 26
44 24 25
24 29 2
7 54 -5
8 1 -21
46 26 -18
11 56 -1
48 61 25
52 15 16
42 32 -18
49 2 -15
45 56 23
2 53 -6
40 49 3
3 51 -5
21 51 23
39 9 10
57 17 6
56 42 -20
3 37 -4
54 5 9
12 30 -1
59 15 -30
57 16 -27
47 33 -30
18 6 0
5 53 -11
26 31 -25
37 17 -11
36 55 11
59 39 19
22 27 -25
13 63 -10
11 31 5
4 28 -18
31 13 -23
0 16 -26
45 58 23
11 25 -30
9 34 25
15 22 -32
37 27 9
55 27 -9
39 25 4
31 35 -19
38 13 5
7 27 -7
47 40 4
63 37 -18
56 54 -26
30 47 21
26 5 8
53 57 -30
40 27 -11
46 47 -21
47 30 -31
15 46 -15
24 8 22
44 54 -32
40 6 4
38 29 -27
26 14 15
59 9 -10
23 42 10
59 38 30
52 19 6
38 32 -27
41 14 5
42 15 3
19 5 -4
50 14 21
47 17 -6
46 30 -28
60 42 -21
48 37 3
6 27 -13
47 25 14
35 33 0
28 25 -31
5 10 27
37 41 30
36 29 5
0 25 -25
14 27 -24
51 38 -7
26 15 23
50 31 -4
26 24 29
34 62 22
61 34 -29
30 29 -16
1 26 -19

34 149
4 12 -31
1 6 9
23 14 -12
23 8 10
14 30 15
13 12 13
16 1 7
13 15 25
33 20 -28
26 17 -23
9 13 13
9 14 -15
2 31 26
11 21 -26
12 9 -12
22 15 -30
1 30 29
20 3 -28
6 30 -10
7 15 25
17 9 20
7 3 23
21 19 -22
32 17 29
20 8 28
16 6 -20
2 30 28
9 17 4
25 1 -7
24 32 24
12 19 5
8 19 -15
23 2 -24
4 13 7
29 6 28
28 5 -17
30 19 -6
8 29 -28
31 28 13
16 13 -14
17 5 -16
33 21 -7
33 28 6
25 27 21
5 29 28
3 21 11
30 8 -7
0 21 -3
4 27 4
11 6 9
5 26 23
27 26 23
7 17 -21
32 23 15
30 28 -12
33 30 23
5 4 24
14 24 17
22 19 21
24 23 -7
29 31 31
12 27 29
11 8 -16
23 11 -31
21 3 13
32 1 -22
23 21 11
27 14 13
3 22 -26
9 23 -20
18 28 13
4 8 -32
10 25 -28
5 8 -1
17 28 -8
21 10 12
8 24 31
5 25 -2
13 31 -21
11 19 3
5 16 -7
6 27 23
21 12 -19
10 9 2
17 3 0
7 31 2
5 24 30
22 7 0
16 7 12
19 30 3
16 23 18
9 28 7
32 20 -12
32 27 -15
1 5 -26
3 30 26
30 12 11
1 18 -17
3 18 10
28 30 7
27 8 -26
7 1 24
6 15 -13
28 7 31
4 25 -22
29 13 12
24 7 -31
17 26 -1
9 10 -19
28 24 -12
25 0 -20
13 20 12
20 25 6
26 16 -3
28 16 26
15 19 -28
8 32 -4
5 2 8
22 30 18
0 1 1
20 21 28
25 12 24
16 27 31
18 31 26
5 0 -3
2 18 18
20 24 -5
30 21 15
23 24 29
7 22 7
19 7 27
16 17 -2
33 4 -32
27 7 -20
20 9 13
27 5 -19
10 8 19
24 14 -4
28 6 26
28 10 -7
8 14 -3
27 24 -4
18 11 4
31 19 -13
4 1 -5
19 6 26
23 12 14
13 32 20
31 14 -2

96 30
90 53 -13
43 11 -30
30 31 17
11 19 -13
92 63 -31
69 36 25
29 47 10
39 19 16
3 1 -15
19 15 -32
37 10 -3
92 6 -7
62 74 12
28 87 -32
20 73 -24
9 60 -3
44 22 -31
50 58 -24
69 87 -30
27 65 5
50 89 -18
79 46 17
57 67 -15
46 67 13
46 90 15
87 0 -7
59 60 -10
91 86 9
56 13 -32
82 7 -13

4 4
2 1 -14
0 3 -28
1 0 14
3 1 -12

53 10
32 39 -5
37 21 -9
2 27 27
46 38 7
47 36 -20
5 41 5
22 19 -1
38 32 -26
28 18 -1
24 44 23

72 122
8 67 -9
19 64 -7
23 35 -22
64 36 26
31 67 28
63 2 -14
39 12 9
2 49 6
13 26 -26
32 48 8
58 55 -5
53 50 7
59 12 31
58 66 -23
66 41 10
48 12 -10
60 5 -30
50 36 -31
5 36 -17
62 2 -20
20 49 -18
71 22 -22
20 9 25
47 68 28
38 51 15
25 16 -28
27 30 -29
63 18 23
13 27 23
65 28 24
25 13 11
39 16 -22
2 22 -12
56 27 -13
6 11 25
1 69 -7
0 14 26
3 9 24
43 44 31
65 27 -15
45 11 31
10 45 7
49 16 -2
63 50 -17
17 7 -5
20 36 -2
5 7 -26
71 14 19
59 60 -8
8 69 1
23 1 28
3 14 27
71 36 -11
67 35 18
24 16 5
64 39 1
25 51 -28
53 49 31
27 5 -19
9 30 -7
70 24 11
37 10 13
66 5 9
18 3 15
35 60 -25
14 17 -8
21 41 -7
18 46 2
21 33 -7
47 3 21
31 57 5
44 49 27
34 24 11
67 49 -1
40 32 -14
4 3 5
7 41 -17
52 70 13
10 11 4
31 70 26
5 9 -17
46 0 21
34 56 27
4 14 -20
10 49 17
29 10 8
70 50 21
54 37 -30
2 1 27
10 51 29
48 60 17
69 68 31
0 24 19
67 29 -8
21 10 -28
62 19 19
30 8 -6
15 56 -17
40 7 -10
29 54 1
61 30 -16
48 0 19
47 69 -31
69 37 29
55 43 -7
65 15 24
7 33 -30
52 36 21
37 57 22
1 29 -28
45 48 27
40 58 -22
28 39 -14
2 21 29
63 9 -2
67 43 8
46 49 -26
2 47 9
52 63 -28
15 36 8
10 43 10
7 12 22

100 199
82 48 8
17 50 3
38 7 22
62 74 -12
20 44 5
60 16 18
18 60 13
67 68 3
67 1 21
48 36 16
71 38 -28
73 33 11
56 45 21
47 17 11
16 17 -16
16 36 2
23 35 -19
90 23 0
40 13 -26
61 13 -17
40 18 12
72 39 12
81 40 26
84 14 20
96 8 17
62 10 -31
34 60 -18
20 97 27
18 7 -22
86 27 4
5 63 -26
43 90 16
86 39 -1
0 48 -15
87 86 -8
76 7 -10
52 94 -14
50 38 -13
65 56 14
71 8 -12
79 57 8
38 31 -6
63 77 -10
8 39 19
97 12 11
54 48 -8
38 19 -6
54 9 -1
28 86 0
90 18 7
89 53 4
36 49 22
41 33 -4
68 95 1
43 58 2
74 98 -26
14 54 -31
41 57 7
4 30 -29
89 40 -27
57 82 -5
48 77 15
42 92 16
46 68 14
83 13 10
69 24 -20
91 73 -17
14 91 22
67 43 -6
42 55 -3
1 36 -30
25 50 -3
33 94 9
20 77 9
76 5 4
71 78 -18
22 62 23
60 37 -8
75 26 -10
79 52 -21
36 13 -13
4 9 -9
27 81 29
27 99 -8
64 49 13
9 76 2
21 85 11
90 0 24
7 78 -1
59 64 -15
14 38 4
49 42 19
12 65 26
73 21 -13
82 94 0
88 72 -20
67 48 22
44 26 -3
65 10 -30
9 14 -32
30 21 -12
72 55 -19
5 6 16
8 94 26
24 75 -10
63 68 -1
77 80 31
83 87 30
3 14 7
13 75 31
19 18 28
46 79 -14
60 71 -4
83 23 14
58 61 -29
81 41 0
16 84 25
52 29 17
9 23 -24
18 8 4
21 79 10
97 4 14
13 55 -19
26 95 -4
85 94 -9
88 89 -14
34 49 -26
26 53 4
67 99 -10
49 16 -31
91 62 3
27 17 17
32 64 6
60 72 -11
35 95 -1
27 62 -32
74 46 -7
43 23 9
57 34 27
1 66 20
92 6 24
11 18 19
73 11 12
79 87 10
97 93 -1
37 35 16
24 40 31
40 77 -22
27 32 24
50 55 5
84 49 -9
12 92 5
56 43 29
26 39 0
85 84 -29
83 69 -26
12 86 -31
50 14 -31
4 34 -21
8 17 30
8 65 -32
18 15 -3
11 65 -22
88 44 -32
18 33 23
33 34 -21
40 12 -2
99 5 18
32 56 17
46 3 2
40 9 -16
16 80 11
51 34 -8
56 84 -9
25 48 31
81 25 26
63 14 -4
42 62 17
49 34 -3
33 65 -28
12 36 -31
64 68 -27
56 41 -30
29 37 -9
52 92 -16
62 46 6
59 11 27
27 92 13
54 40 21
22 70 21
52 78 2
29 81 23
43 81 -32
62 5 29
60 73 2
83 88 14
47 89 16
70 69 -10
4 22 -17

57 35
9 24 -19
8 24 -10
42 29 21
45 51 -11
40 48 -24
11 28 -9
12 56 -24
34 3 21
39 6 26
42 8 -32
25 12 -13
21 10 -21
32 20 -24
7 41 -13
12 35 -26
27 5 -14
0 25 30
7 42 -24
18 48 -23
8 55 17
4 56 -12
40 27 17
17 2 19
23 45 9
47 0 -15
19 4 10
52 36 -29
47 30 29
23 30 -20
20 44 3
22 53 -31
14 46 -19
49 20 -19
22 27 -13
13 18 27

21 64
5 13 24
8 19 2
12 17 -30
2 18 9
20 10 -25
11 4 -23
10 12 3
18 10 -22
19 4 -7
9 14 25
5 7 28
10 0 -12
19 13 -1
13 9 -22
18 15 -14
11 16 -6
0 15 29
3 2 -4
8 0 17
3 20 4
8 15 -19
3 5 26
19 15 -20
8 5 -30
0 11 21
5 1 -21
5 0 18
13 5 15
3 19 -4
4 5 18
13 0 17
14 17 -10
10 17 -10
0 13 -7
16 11 21
17 18 -30
7 19 14
14 20 -29
11 13 9
10 2 4
12 0 3
20 11 8
1 14 -24
19 17 11
3 12 24
10 20 4
6 18 -2
13 4 29
3 6 25
7 2 19
6 16 -27
16 20 -20
9 19 -20
8 20 -22
16 17 8
11 12 13
13 1 -27
7 3 -30
19 11 3
3 7 -16
4 20 -8
10 19 22
17 3 12
11 7 22
